2024-03-06 18:27:58,lab/mdef/carmen,on
2024-03-06 18:28:22,lab/mdef/carmen,off
2024-03-06 18:28:22,lab/mdef/carmen,on
2024-03-06 18:28:49,lab/mdef/anna,267
2024-03-06 18:28:54,lab/mdef/anna,8
2024-03-06 18:28:58,lab/mdef/carmen,off
2024-03-06 18:28:59,lab/mdef/anna,1005
2024-03-06 18:29:04,lab/mdef/anna,1005
2024-03-06 18:29:09,lab/mdef/anna,8
2024-03-06 18:29:14,lab/mdef/anna,1005
2024-03-06 18:29:19,lab/mdef/anna,1005
2024-03-06 18:29:24,lab/mdef/anna,1005
2024-03-06 18:29:29,lab/mdef/anna,57
2024-03-06 18:29:35,lab/mdef/anna,1005
2024-03-06 18:29:39,lab/mdef/anna,319
2024-03-06 18:29:44,lab/mdef/anna,1005
2024-03-06 18:29:50,lab/mdef/anna,267
2024-03-06 18:29:55,lab/mdef/anna,1005
2024-03-06 18:30:00,lab/mdef/anna,1005
2024-03-06 18:30:05,lab/mdef/anna,1005
2024-03-06 18:30:10,lab/mdef/anna,6
2024-03-06 18:30:15,lab/mdef/anna,1005
2024-03-06 18:30:20,lab/mdef/anna,1005
2024-03-06 18:30:20,lab/mdef/carmen,on
2024-03-06 18:30:25,lab/mdef/anna,322
2024-03-06 18:30:30,lab/mdef/anna,7
2024-03-06 18:30:35,lab/mdef/anna,5
2024-03-06 18:30:41,lab/mdef/anna,268
2024-03-06 18:30:45,lab/mdef/anna,1005
2024-03-06 18:30:50,lab/mdef/anna,38
2024-03-06 18:30:55,lab/mdef/anna,1005
2024-03-06 18:31:00,lab/mdef/anna,1005
2024-03-06 18:31:05,lab/mdef/anna,1005
2024-03-06 18:31:10,lab/mdef/anna,65
2024-03-06 18:31:15,lab/mdef/anna,319
2024-03-06 18:31:20,lab/mdef/anna,267
2024-03-06 18:31:25,lab/mdef/anna,1007
2024-03-06 18:31:30,lab/mdef/anna,109
2024-03-06 18:31:35,lab/mdef/anna,1007
2024-03-06 18:31:40,lab/mdef/anna,5
2024-03-06 18:31:45,lab/mdef/anna,1007
2024-03-06 18:31:51,lab/mdef/anna,41
2024-03-06 18:31:55,lab/mdef/anna,1009
2024-03-06 18:31:56,lab/mdef/carmen,off
2024-03-06 18:32:00,lab/mdef/anna,5
2024-03-06 18:32:05,lab/mdef/anna,317
2024-03-06 18:32:11,lab/mdef/anna,9
2024-03-06 18:32:16,lab/mdef/anna,8
2024-03-06 18:32:21,lab/mdef/anna,315
2024-03-06 18:32:25,lab/mdef/anna,10
2024-03-06 18:32:29,lab/mdef/carmen,on
2024-03-06 18:32:30,lab/mdef/anna,12
2024-03-06 18:32:35,lab/mdef/anna,316
2024-03-06 18:32:41,lab/mdef/anna,1009
2024-03-06 18:32:46,lab/mdef/anna,316
2024-03-06 18:32:51,lab/mdef/anna,315
2024-03-06 18:32:56,lab/mdef/anna,1009
2024-03-06 18:33:01,lab/mdef/anna,1011
2024-03-06 18:33:06,lab/mdef/anna,1007
2024-03-06 18:33:11,lab/mdef/anna,30
2024-03-06 18:33:16,lab/mdef/anna,1007
2024-03-06 18:33:21,lab/mdef/anna,9
2024-03-06 18:33:26,lab/mdef/anna,4
2024-03-06 18:33:31,lab/mdef/anna,1006
2024-03-06 18:33:36,lab/mdef/anna,1007
2024-03-06 18:33:41,lab/mdef/anna,1007
2024-03-06 18:34:00,lab/mdef/anna,5
2024-03-06 18:34:00,lab/mdef/anna,256
2024-03-06 18:34:00,lab/mdef/anna,319
2024-03-06 18:34:01,lab/mdef/anna,1006
2024-03-06 18:34:06,lab/mdef/anna,1006
2024-03-06 18:34:11,lab/mdef/anna,317
2024-03-06 18:34:16,lab/mdef/anna,64
2024-03-06 18:34:21,lab/mdef/anna,316
2024-03-06 18:34:26,lab/mdef/anna,317
2024-03-06 18:34:29,lab/mdef/carmen,off
2024-03-06 18:34:31,lab/mdef/anna,319
2024-03-06 18:34:36,lab/mdef/anna,63
2024-03-06 18:34:41,lab/mdef/anna,1007
2024-03-06 18:34:46,lab/mdef/anna,320
2024-03-06 18:34:51,lab/mdef/anna,1007
2024-03-06 18:34:56,lab/mdef/anna,48
2024-03-06 18:35:02,lab/mdef/anna,19
2024-03-06 18:35:07,lab/mdef/anna,256
2024-03-06 18:35:11,lab/mdef/anna,317
2024-03-06 18:35:17,lab/mdef/anna,318
2024-03-06 18:35:22,lab/mdef/anna,320
2024-03-06 18:35:27,lab/mdef/anna,317
2024-03-06 18:35:32,lab/mdef/anna,316
2024-03-06 18:35:37,lab/mdef/anna,868
2024-03-06 18:35:42,lab/mdef/anna,1009
2024-03-06 18:35:47,lab/mdef/anna,1009
2024-03-06 18:35:52,lab/mdef/anna,1009
2024-03-06 18:35:57,lab/mdef/anna,37
2024-03-06 18:36:02,lab/mdef/anna,1009
2024-03-06 18:36:07,lab/mdef/anna,7
2024-03-06 18:36:12,lab/mdef/anna,10
2024-03-06 18:36:17,lab/mdef/anna,44
2024-03-06 18:36:22,lab/mdef/anna,1009
2024-03-06 18:36:27,lab/mdef/anna,1009
2024-03-06 18:36:32,lab/mdef/anna,1009
2024-03-06 18:36:37,lab/mdef/anna,890
2024-03-06 18:36:42,lab/mdef/anna,1009
2024-03-06 18:36:47,lab/mdef/anna,1009
2024-03-06 18:36:52,lab/mdef/anna,1009
2024-03-06 18:36:57,lab/mdef/anna,6
2024-03-06 18:37:02,lab/mdef/anna,7
2024-03-06 18:37:07,lab/mdef/anna,8
2024-03-06 18:37:12,lab/mdef/anna,9
2024-03-06 18:37:17,lab/mdef/anna,9
2024-03-06 18:37:22,lab/mdef/anna,1009
2024-03-06 18:37:27,lab/mdef/anna,11
